date,close,open,high,low,value,capitalization,divisor
2002-01-15,255.81,258.19,255.81,255.81,0.0,6275159765419.83,3254811524.0
2002-01-16,258.91,255.81,258.91,258.91,0.0,6275159765419.83,3254811524.0
2002-01-17,261.99,258.91,261.99,261.99,0.0,6275159765419.83,3254811524.0
2002-01-18,266.0,261.99,266.0,266.0,0.0,6275159765419.83,3254811524.0
2002-01-21,266.39,266.0,266.39,266.39,0.0,6275159765419.83,3254811524.0
2002-01-22,272.07,266.39,272.07,272.07,0.0,6275159765419.83,3254811524.0
2002-01-23,273.74,272.07,273.74,273.74,0.0,6275159765419.83,3254811524.0
2002-01-24,263.08,273.74,263.08,263.08,0.0,6275159765419.83,3254811524.0
2002-01-25,255.95,263.08,255.95,255.95,0.0,6275159765419.83,3254811524.0
2002-01-28,255.91,255.95,255.91,255.91,0.0,6275159765419.83,3254811524.0
2002-01-29,262.94,255.91,262.94,262.94,0.0,6275159765419.83,3254811524.0
2002-01-30,256.82,262.94,256.82,256.82,0.0,6275159765419.83,3254811524.0
2002-01-31,260.77,256.82,260.77,260.77,0.0,6275159765419.83,3254811524.0
2002-02-01,262.13,260.77,262.13,262.13,0.0,6275159765419.83,3254811524.0
2002-02-04,257.01,262.13,257.01,257.01,0.0,6275159765419.83,3254811524.0
2002-02-05,255.02,257.01,255.02,255.02,0.0,6275159765419.83,3254811524.0
2002-02-06,260.26,255.02,260.26,260.26,0.0,6275159765419.83,3254811524.0
2002-02-07,265.11,260.26,265.11,265.11,0.0,6275159765419.83,3254811524.0
2002-02-08,267.27,265.11,267.27,267.27,0.0,6275159765419.83,3254811524.0
2002-02-11,267.31,267.27,267.31,267.31,0.0,6275159765419.83,3254811524.0
2002-02-12,269.87,267.31,269.87,269.87,0.0,6275159765419.83,3254811524.0
2002-02-13,266.37,269.87,266.37,266.37,0.0,6275159765419.83,3254811524.0
2002-02-14,262.61,266.37,262.61,262.61,0.0,6275159765419.83,3254811524.0
2002-02-15,262.22,262.61,262.22,262.22,0.0,6275159765419.83,3254811524.0
2002-02-18,256.85,262.22,256.85,256.85,0.0,6275159765419.83,3254811524.0
2002-02-19,257.23,256.85,257.23,257.23,0.0,6275159765419.83,3254811524.0
2002-02-20,250.71,257.23,250.71,250.71,0.0,6275159765419.83,3254811524.0
2002-02-21,255.34,250.71,255.34,255.34,0.0,6275159765419.83,3254811524.0
2002-02-22,262.55,255.34,262.55,262.55,0.0,6275159765419.83,3254811524.0
2002-02-26,268.88,262.55,268.88,268.88,0.0,6275159765419.83,3254811524.0
2002-02-27,264.51,268.88,264.51,264.51,0.0,6275159765419.83,3254811524.0
2002-02-28,262.65,264.51,262.65,262.65,0.0,6275159765419.83,3254811524.0
2002-03-01,270.04,262.65,270.04,270.04,0.0,6275159765419.83,3254811524.0
2002-03-04,278.75,270.04,278.75,278.75,0.0,6275159765419.83,3254811524.0
2002-03-05,275.47,278.75,275.47,275.47,0.0,6275159765419.83,3254811524.0
2002-03-06,274.39,275.47,274.39,274.39,0.0,6275159765419.83,3254811524.0
2002-03-07,281.96,274.39,281.96,281.96,0.0,6275159765419.83,3254811524.0
2002-03-11,279.32,281.96,279.32,279.32,0.0,6275159765419.83,3254811524.0
2002-03-12,274.83,279.32,274.83,274.83,0.0,6275159765419.83,3254811524.0
2002-03-13,278.42,274.83,278.42,278.42,0.0,6275159765419.83,3254811524.0
2002-03-14,281.34,278.42,281.34,281.34,0.0,6275159765419.83,3254811524.0
2002-03-15,287.37,281.34,287.37,287.37,0.0,6275159765419.83,3254811524.0
2002-03-18,294.18,287.37,294.18,294.18,0.0,6275159765419.83,3254811524.0
2002-03-19,294.09,294.18,294.09,294.09,0.0,6275159765419.83,3254811524.0
2002-03-20,288.92,294.09,288.92,288.92,0.0,6275159765419.83,3254811524.0
2002-03-21,290.64,288.92,290.64,290.64,0.0,6275159765419.83,3254811524.0
2002-03-22,295.36,290.64,295.36,295.36,0.0,6275159765419.83,3254811524.0
2002-03-25,293.0,295.36,293.0,293.0,0.0,6275159765419.83,3254811524.0
2002-03-26,286.03,293.0,286.03,286.03,0.0,6275159765419.83,3254811524.0
2002-03-27,292.36,286.03,292.36,292.36,0.0,6275159765419.83,3254811524.0
2002-03-28,299.46,292.36,299.46,299.46,0.0,6275159765419.83,3254811524.0
2002-03-29,302.96,299.46,302.96,302.96,0.0,6275159765419.83,3254811524.0
2002-04-01,302.2,302.96,302.2,302.2,0.0,6275159765419.83,3254811524.0
2002-04-02,301.23,302.2,301.23,301.23,0.0,6275159765419.83,3254811524.0
2002-04-03,293.08,301.23,293.08,293.08,0.0,6275159765419.83,3254811524.0
2002-04-04,293.47,293.08,293.47,293.47,0.0,6275159765419.83,3254811524.0
2002-04-05,295.93,293.47,295.93,295.93,0.0,6275159765419.83,3254811524.0
2002-04-08,296.88,295.93,296.88,296.88,0.0,6275159765419.83,3254811524.0
2002-04-09,304.86,296.88,304.86,304.86,0.0,6275159765419.83,3254811524.0
2002-04-10,311.33,304.86,311.33,311.33,0.0,6275159765419.83,3254811524.0
2002-04-11,315.23,311.33,315.23,315.23,0.0,6275159765419.83,3254811524.0
2002-04-12,314.5,315.23,314.5,314.5,0.0,6275159765419.83,3254811524.0
2002-04-15,320.42,314.5,320.42,320.42,0.0,6275159765419.83,3254811524.0
2002-04-16,324.99,320.42,324.99,324.99,0.0,6275159765419.83,3254811524.0
2002-04-17,328.13,324.99,328.13,328.13,0.0,6275159765419.83,3254811524.0
2002-04-18,336.64,328.13,336.64,336.64,0.0,6275159765419.83,3254811524.0
2002-04-19,339.23,336.64,339.23,339.23,0.0,6275159765419.83,3254811524.0
2002-04-22,341.55,339.23,341.55,341.55,0.0,6275159765419.83,3254811524.0
2002-04-23,337.85,341.55,337.85,337.85,0.0,6275159765419.83,3254811524.0
2002-04-24,339.77,337.85,339.77,339.77,0.0,6275159765419.83,3254811524.0
2002-04-25,337.86,339.77,337.86,337.86,0.0,6275159765419.83,3254811524.0
2002-04-26,343.23,337.86,343.23,343.23,0.0,6275159765419.83,3254811524.0
