date,asset,type,total_oi,fiz_oi,yur_oi,fiz_share,yur_share,long_fiz,short_fiz,long_jur,short_jur,Open,High,Low,Close,Volume,contract
2019-03-04,ROSN,futures,36992.0,,,,,,,,,,,,,,
2019-03-04,SBRF,futures,717010.0,,,,,,,,,,,,,,
2019-03-04,VTBR,futures,291868.0,,,,,,,,,,,,,,
2019-03-05,ALRS,futures,14780.0,,,,,,,,,,,,,,
2019-03-05,GAZR,futures,340644.0,,,,,,,,,,,,,,
2019-03-05,LKOH,futures,40670.0,,,,,,,,,,,,,,
2019-03-05,MGNT,futures,191662.0,,,,,,,,,,,,,,
2019-03-05,MXI,futures,39726.0,,,,,,,,,,,,,,
2019-03-05,ROSN,futures,37110.0,,,,,,,,,,,,,,
2019-03-05,SBRF,futures,738506.0,,,,,,,,,,,,,,
2019-03-05,VTBR,futures,304814.0,,,,,,,,,,,,,,
2019-03-06,ALRS,futures,15152.0,,,,,,,,,,,,,,
2019-03-06,GAZR,futures,335228.0,,,,,,,,,,,,,,
2019-03-06,LKOH,futures,42236.0,,,,,,,,,,,,,,
2019-03-06,MGNT,futures,195706.0,,,,,,,,,,,,,,
2019-03-06,MXI,futures,49882.0,,,,,,,,,,,,,,
2019-03-06,ROSN,futures,36578.0,,,,,,,,,,,,,,
2019-03-06,SBRF,futures,767172.0,,,,,,,,,,,,,,
2019-03-06,VTBR,futures,303534.0,,,,,,,,,,,,,,
2019-03-07,ALRS,futures,14894.0,,,,,,,,,,,,,,
2019-03-07,GAZR,futures,346116.0,,,,,,,,,,,,,,
2019-03-07,LKOH,futures,39880.0,,,,,,,,,,,,,,
2019-03-07,MGNT,futures,195984.0,,,,,,,,,,,,,,
2019-03-07,MXI,futures,38056.0,,,,,,,,,,,,,,
2019-03-07,ROSN,futures,35604.0,,,,,,,,,,,,,,
2019-03-07,SBRF,futures,750070.0,,,,,,,,,,,,,,
2019-03-07,VTBR,futures,308742.0,,,,,,,,,,,,,,
2019-03-11,ALRS,futures,15478.0,,,,,,,,,,,,,,
2019-03-11,GAZR,futures,333980.0,,,,,,,,,,,,,,
2019-03-11,LKOH,futures,37102.0,,,,,,,,,,,,,,
2019-03-11,MGNT,futures,198862.0,,,,,,,,,,,,,,
2019-03-11,MXI,futures,36510.0,,,,,,,,,,,,,,
2019-03-11,ROSN,futures,35420.0,,,,,,,,,,,,,,
2019-03-11,SBRF,futures,746324.0,,,,,,,,,,,,,,
2019-03-11,VTBR,futures,307348.0,,,,,,,,,,,,,,
2019-03-12,ALRS,futures,15358.0,,,,,,,,,,,,,,
2019-03-12,GAZR,futures,327498.0,,,,,,,,,,,,,,
2019-03-12,LKOH,futures,37824.0,,,,,,,,,,,,,,
2019-03-12,MGNT,futures,197264.0,,,,,,,,,,,,,,
2019-03-12,MXI,futures,35934.0,,,,,,,,,,,,,,
2019-03-12,ROSN,futures,35962.0,,,,,,,,,,,,,,
2019-03-12,SBRF,futures,745402.0,,,,,,,,,,,,,,
2019-03-12,VTBR,futures,306894.0,,,,,,,,,,,,,,
2019-03-13,ALRS,futures,14732.0,,,,,,,,,,,,,,
2019-03-13,GAZR,futures,334470.0,,,,,,,,,,,,,,
2019-03-13,LKOH,futures,37612.0,,,,,,,,,,,,,,
2019-03-13,MGNT,futures,191372.0,,,,,,,,,,,,,,
2019-03-13,MXI,futures,44634.0,,,,,,,,,,,,,,
2019-03-13,ROSN,futures,35588.0,,,,,,,,,,,,,,
2019-03-13,SBRF,futures,763312.0,,,,,,,,,,,,,,
2019-03-13,VTBR,futures,306392.0,,,,,,,,,,,,,,
2019-03-14,ALRS,futures,14988.0,,,,,,,,,,,,,,
2019-03-14,GAZR,futures,331992.0,,,,,,,,,,,,,,
2019-03-14,LKOH,futures,37802.0,,,,,,,,,,,,,,
2019-03-14,MGNT,futures,197010.0,,,,,,,,,,,,,,
2019-03-14,MXI,futures,42932.0,,,,,,,,,,,,,,
2019-03-14,ROSN,futures,35460.0,,,,,,,,,,,,,,
2019-03-14,SBRF,futures,1103966.0,,,,,,,,,,,,,,
2019-03-14,VTBR,futures,313004.0,,,,,,,,,,,,,,
2019-03-15,ALRS,futures,15182.0,,,,,,,,,,,,,,
2019-03-15,GAZR,futures,337732.0,,,,,,,,,,,,,,
2019-03-15,LKOH,futures,35712.0,,,,,,,,,,,,,,
2019-03-15,MGNT,futures,205660.0,,,,,,,,,,,,,,
2019-03-15,MXI,futures,46600.0,,,,,,,,,,,,,,
2019-03-15,ROSN,futures,36290.0,,,,,,,,,,,,,,
2019-03-15,SBRF,futures,1048392.0,,,,,,,,,,,,,,
2019-03-15,VTBR,futures,316270.0,,,,,,,,,,,,,,
2019-03-18,ALRS,futures,16482.0,,,,,,,,,,,,,,
